年月日,降水量の合計(mm),平均気温(℃)
2012/6/28,0.0,20.4
2012/6/29,0.0,22.4
2012/6/30,0.0,22.6
2012/7/1,8.0,20.2
2012/7/2,3.5,22.5
2012/7/3,0.5,22.0
2012/7/4,0.5,24.1
2012/7/5,0.0,25.3
2012/7/6,16.0,23.6
2012/7/7,25.0,21.5
2012/7/8,0.5,21.8
2012/7/9,0.0,23.4
2012/7/10,0.0,24.9
2012/7/11,0.0,25.8
2012/7/12,5.5,24.9
2012/7/13,1.5,26.0
2012/7/14,18.0,26.8
2012/7/15,0.0,27.9
2012/7/16,0.0,29.0
2012/7/17,0.0,29.2
2012/7/18,0.0,28.1
2012/7/19,0.0,27.3
2012/7/20,24.5,19.0
2012/7/21,0.5,18.3
2012/7/22,0.5,19.7
2012/7/23,0.0,23.4
2012/7/24,0.0,25.5
2012/7/25,0.0,27.4
2012/7/26,0.0,28.8
2012/7/27,0.0,29.0
2012/7/28,0.0,28.9
2012/7/29,0.0,28.8
2012/7/30,0.0,28.3
2012/7/31,0.0,28.2
2012/8/1,0.0,27.2
2012/8/2,0.0,28.4
2012/8/3,0.0,28.3
2012/8/4,3.0,26.3
2012/8/5,0.0,27.9
2012/8/6,8.5,25.8
2012/8/7,0.0,27.0
2012/8/8,0.0,25.0
2012/8/9,0.0,25.0
2012/8/10,0.0,26.0
2012/8/11,2.0,26.4
2012/8/12,0.0,26.3
2012/8/13,0.0,28.5
2012/8/14,9.5,26.5
2012/8/15,0.0,27.2
2012/8/16,0.0,28.8
2012/8/17,1.5,28.3
2012/8/18,0.5,26.3
2012/8/19,0.0,27.4
2012/8/20,0.0,27.5
2012/8/21,0.0,27.7
2012/8/22,0.0,28.3
2012/8/23,0.0,28.3
2012/8/24,0.0,28.0
2012/8/25,0.0,27.9
2012/8/26,0.0,27.7
2012/8/27,0.0,27.7
2012/8/28,0.0,27.5
2012/8/29,0.0,27.4
2012/8/30,0.0,28.3
2012/8/31,0.0,27.8
2012/9/1,20.0,24.5
2012/9/2,58.5,23.3
2012/9/3,1.0,24.6
2012/9/4,4.0,25.1
2012/9/5,0.0,26.4
2012/9/6,9.0,24.7
2012/9/7,0.0,25.3
2012/9/8,0.0,26.5
2012/9/9,0.0,26.4
2012/9/10,0.0,26.1
2012/9/11,0.0,26.3
2012/9/12,0.0,25.6
2012/9/13,0.0,26.5
2012/9/14,0.0,26.5
2012/9/15,0.0,25.6
2012/9/16,1.0,24.9
2012/9/17,23.0,25.4
2012/9/18,15.0,25.6
2012/9/19,5.5,24.8
2012/9/20,0.0,25.2
2012/9/21,17.5,22.8
2012/9/22,5.5,20.8
2012/9/23,85.5,18.8
2012/9/24,5.5,21.6
2012/9/25,1.5,18.7
2012/9/26,0.0,20.1
2012/9/27,0.0,19.9
2012/9/28,0.0,21.3
2012/9/29,0.0,23.4
2012/9/30,35.0,23.8
2012/10/1,0.0,25.3
2012/10/2,0.0,22.1
2012/10/3,9.0,19.8
2012/10/4,2.0,21.9
2012/10/5,0.0,21.9
2012/10/6,0.0,22.0
2012/10/7,4.5,17.7
2012/10/8,0.0,18.0
2012/10/9,0.0,17.8
2012/10/10,0.0,17.8
2012/10/11,0.0,19.8
2012/10/12,0.0,18.4
2012/10/13,0.0,18.4
2012/10/14,0.0,16.3
2012/10/15,0.0,19.0
2012/10/16,0.0,17.0
2012/10/17,8.5,15.6
2012/10/18,14.5,16.1
2012/10/19,15.5,14.8
2012/10/20,0.0,15.3
2012/10/21,0.0,17.1
2012/10/22,0.0,17.1
2012/10/23,6.0,17.9
2012/10/24,0.0,14.9
2012/10/25,0.0,14.0
2012/10/26,0.0,15.2
2012/10/27,0.0,15.3
2012/10/28,12.5,13.1
2012/10/29,0.5,15.4
2012/10/30,0.0,11.5
2012/10/31,0.0,11.8
2012/11/1,0.0,11.7
2012/11/2,0.0,12.1
2012/11/3,0.0,12.0
2012/11/4,0.0,12.1
2012/11/5,1.5,10.9
2013/3/20,0.0,16.0
2013/3/21,0.0,9.3
2013/3/22,0.0,11.8
2013/3/23,0.0,11.8
